abroad	out of doors
tocsin	an alarm bell or signal
tope	drink to excess
trespass	a sin or offence
trig	neat and smart
trigon	a triangle
troth	faith or loyalty when pledged in a solemn undertaking
truck	an exchange or transaction
turnkey	a jailer
'tween	between
tweeny	a maid who assisted both the cook and the housemaid
twelvemonth	a year
uncle	a pawnbroker
uncommon	remarkably
unhand	release from one's grasp
up to snuff	up to the required standard
usher	an assistant teacher
vale	a farewell; a send-off
varlet	an unprincipled rogue
venery	hunting
verily	truly; certainly
verse	a line of poetry
very	real; genuine
virtue	virginity
visionary	existing only in the imagination
wain	a wagon or cart
wait on/upon	pay a respectful visit to
waits	street singers of Christmas carols
ware of	aware of
wassail	revelry
wast	second person singular past of be
watch	remain awake as religious observance
watchful	wakeful
watchword	a military password
weasand	the oesophagus or gullet
ween	think or suppose; be of the opinion
wench	a girl or young woman
whence	from what place or source
whereat	at which
wherefore	for what reason
wherewith	with or by which
whilom	formerly
white goods	domestic linen
whither	to what place or state
wife	"a woman, especially an old or uneducated one"
wight	a person of a specified kind
wise	"manner, way, or extent"
withal	in addition
without	outside
wondrous	wonderfully
wont	accustomed
wonted	usual
wool-stapler	a dealer in wool
wright	a maker or builder
yclept	by the name of
ye	you
yea	yes
yoke	the amount of land that one pair of oxen could plough in a day
yonder	over there
zounds	an expression of surprise or indignation
